sim,time,trap.id,nmales,ntrees,type,lure
1,83,4,261,17,expert1,20
2,89,69,345,51,expert1,20
3,79,100,232,15,expert1,20
4,77,89,191,11,expert1,20
5,82,64,300,28,expert1,20
6,85,100,292,15,expert1,20
7,70,27,11,13,expert1,20
8,88,48,280,34,expert1,20
9,91,21,292,21,expert1,20
10,77,24,181,14,expert1,20
11,75,48,160,35,expert1,20
12,80,8,212,14,expert1,20
13,88,100,296,14,expert1,20
14,77,66,172,48,expert1,20
15,74,48,153,35,expert1,20
16,89,20,316,50,expert1,20
17,42,64,5,3,expert1,20
18,96,24,320,51,expert1,20
19,78,24,201,22,expert1,20
20,80,37,227,47,expert1,20
21,88,52,280,43,expert1,20
22,66,41,5,8,expert1,20
23,82,4,260,16,expert1,20
24,94,89,283,18,expert1,20
25,74,52,136,27,expert1,20
26,76,37,155,52,expert1,20
27,80,24,232,23,expert1,20
28,84,41,279,42,expert1,20
29,86,9,279,38,expert1,20
30,96,55,304,23,expert1,20
31,76,63,178,24,expert1,20
32,78,52,253,166,expert1,20
33,74,48,140,15,expert1,20
34,104,84,348,15,expert1,20
35,110,48,469,37,expert1,20
36,44,88,4,6,expert1,20
37,51,89,19,6,expert1,20
38,78,8,201,21,expert1,20
39,83,89,251,15,expert1,20
40,113,89,556,42,expert1,20
41,68,86,8,9,expert1,20
42,75,100,54,55,expert1,20
43,95,89,301,25,expert1,20
44,74,8,138,18,expert1,20
45,76,100,160,12,expert1,20
46,82,1,269,16,expert1,20
47,89,24,256,56,expert1,20
48,86,4,268,13,expert1,20
49,104,89,330,57,expert1,20
50,75,63,169,17,expert1,20
51,85,89,247,14,expert1,20
52,79,1,209,19,expert1,20
53,65,73,11,14,expert1,20
54,53,36,5,9,expert1,20
55,88,1,291,13,expert1,20
56,118,48,1296,117,expert1,20
57,78,27,239,160,expert1,20
58,88,86,275,43,expert1,20
59,74,3,24,35,expert1,20
60,105,24,317,24,expert1,20
61,92,8,249,15,expert1,20
62,81,52,240,42,expert1,20
63,68,24,45,17,expert1,20
64,80,8,219,17,expert1,20
65,85,21,280,15,expert1,20
66,78,41,252,177,expert1,20
67,77,24,192,43,expert1,20
68,85,27,271,44,expert1,20
69,83,8,319,15,expert1,20
70,60,52,10,3,expert1,20
71,71,85,96,24,expert1,20
72,87,18,277,31,expert1,20
73,89,24,278,28,expert1,20
74,54,24,9,7,expert1,20
75,37,66,2,1,expert1,20
76,76,1,174,12,expert1,20
77,49,12,10,8,expert1,20
78,84,89,271,15,expert1,20
79,56,64,18,6,expert1,20
80,78,20,217,27,expert1,20
81,93,40,307,28,expert1,20
82,90,64,261,35,expert1,20
83,89,48,233,52,expert1,20
84,78,64,178,29,expert1,20
85,75,52,44,51,expert1,20
86,77,24,173,56,expert1,20
87,102,7,349,20,expert1,20
88,57,41,10,8,expert1,20
89,76,21,164,17,expert1,20
90,76,73,166,43,expert1,20
91,78,1,198,13,expert1,20
92,83,89,268,16,expert1,20
93,73,1,110,37,expert1,20
94,51,8,15,5,expert1,20
95,78,89,205,13,expert1,20
96,91,24,296,17,expert1,20
97,67,4,23,9,expert1,20
98,90,16,367,74,expert1,20
99,79,63,226,26,expert1,20
100,74,24,138,19,expert1,20
101,87,86,258,35,expert1,20
102,87,89,276,20,expert1,20
103,71,100,80,11,expert1,20
104,75,41,41,52,expert1,20
105,61,57,9,4,expert1,20
106,75,47,48,40,expert1,20
107,90,84,282,16,expert1,20
108,95,97,278,14,expert1,20
109,71,74,30,20,expert1,20
110,73,49,26,33,expert1,20
111,50,18,21,11,expert1,20
112,91,4,275,21,expert1,20
113,77,47,51,60,expert1,20
114,72,24,94,18,expert1,20
115,59,41,16,9,expert1,20
116,72,27,29,22,expert1,20
117,87,89,284,34,expert1,20
118,73,10,115,16,expert1,20
119,77,89,179,16,expert1,20
120,82,4,301,15,expert1,20
121,93,55,265,19,expert1,20
122,86,87,264,45,expert1,20
123,85,24,253,19,expert1,20
124,82,20,248,11,expert1,20
125,64,24,15,10,expert1,20
126,81,89,244,28,expert1,20
127,85,1,309,49,expert1,20
128,76,37,177,47,expert1,20
129,89,24,290,29,expert1,20
130,90,48,303,22,expert1,20
131,119,37,1097,108,expert1,20
132,104,4,358,23,expert1,20
133,105,89,249,16,expert1,20
134,87,10,256,15,expert1,20
135,81,18,261,36,expert1,20
136,77,64,161,48,expert1,20
137,78,37,218,53,expert1,20
138,73,1,130,38,expert1,20
139,94,89,281,12,expert1,20
140,72,21,99,15,expert1,20
141,102,21,313,17,expert1,20
142,91,4,303,18,expert1,20
143,93,1,332,25,expert1,20
144,81,10,247,14,expert1,20
145,69,37,63,21,expert1,20
146,67,41,26,11,expert1,20
147,80,18,240,38,expert1,20
148,72,24,110,19,expert1,20
149,92,89,244,16,expert1,20
150,85,8,275,14,expert1,20
151,100,4,283,18,expert1,20
152,93,63,305,43,expert1,20
153,82,100,268,12,expert1,20
154,76,63,192,17,expert1,20
155,88,24,261,31,expert1,20
156,54,21,7,8,expert1,20
157,85,37,258,53,expert1,20
158,85,89,265,17,expert1,20
159,77,10,172,11,expert1,20
160,71,24,74,18,expert1,20
161,77,52,163,29,expert1,20
162,74,52,35,33,expert1,20
163,47,9,7,9,expert1,20
164,76,4,183,15,expert1,20
165,66,92,27,5,expert1,20
166,96,4,312,15,expert1,20
167,80,41,228,32,expert1,20
168,73,30,113,16,expert1,20
169,69,63,64,17,expert1,20
170,75,27,156,26,expert1,20
171,78,8,208,16,expert1,20
172,82,100,250,22,expert1,20
173,106,21,481,19,expert1,20
174,83,24,252,18,expert1,20
175,90,1,294,30,expert1,20
176,89,37,286,39,expert1,20
177,88,8,264,14,expert1,20
178,55,8,15,7,expert1,20
179,73,18,110,42,expert1,20
180,76,40,206,13,expert1,20
181,82,8,279,20,expert1,20
182,69,37,64,40,expert1,20
183,80,4,220,15,expert1,20
184,75,35,30,37,expert1,20
185,79,30,213,13,expert1,20
186,70,89,71,18,expert1,20
187,89,51,292,53,expert1,20
188,90,4,265,18,expert1,20
189,85,37,293,56,expert1,20
190,83,89,250,21,expert1,20
191,83,27,292,36,expert1,20
192,94,9,271,47,expert1,20
193,103,35,320,15,expert1,20
194,99,24,320,22,expert1,20
195,76,1,147,12,expert1,20
196,72,4,22,20,expert1,20
197,96,8,283,18,expert1,20
198,90,48,309,23,expert1,20
199,59,64,9,9,expert1,20
200,92,47,310,46,expert1,20
201,58,88,8,7,expert1,20
202,79,22,225,14,expert1,20
203,86,37,266,15,expert1,20
204,91,24,263,41,expert1,20
205,54,86,11,7,expert1,20
206,76,30,156,37,expert1,20
207,70,22,70,47,expert1,20
208,92,12,278,38,expert1,20
209,95,89,302,17,expert1,20
210,75,37,158,24,expert1,20
211,84,100,274,11,expert1,20
212,55,88,11,13,expert1,20
213,82,37,234,63,expert1,20
214,77,20,157,25,expert1,20
215,50,27,6,6,expert1,20
216,97,24,281,32,expert1,20
217,86,8,252,16,expert1,20
218,79,52,194,36,expert1,20
219,85,24,270,29,expert1,20
220,78,46,261,165,expert1,20
221,78,24,206,27,expert1,20
222,79,37,234,45,expert1,20
223,79,24,211,18,expert1,20
224,101,55,310,22,expert1,20
225,86,40,258,21,expert1,20
226,88,89,312,30,expert1,20
227,89,7,308,17,expert1,20
228,93,20,308,35,expert1,20
229,77,1,185,22,expert1,20
230,81,24,235,22,expert1,20
231,83,66,234,34,expert1,20
232,105,48,386,55,expert1,20
233,85,100,279,20,expert1,20
234,89,89,287,21,expert1,20
235,80,20,237,31,expert1,20
236,57,41,16,9,expert1,20
237,99,21,326,18,expert1,20
238,82,100,263,15,expert1,20
239,88,10,308,17,expert1,20
240,88,100,234,14,expert1,20
241,100,8,320,24,expert1,20
242,89,8,290,14,expert1,20
243,83,21,290,18,expert1,20
244,79,18,207,33,expert1,20
245,88,89,258,17,expert1,20
246,97,8,294,16,expert1,20
247,90,4,291,15,expert1,20
248,72,1,107,9,expert1,20
249,84,7,244,15,expert1,20
250,54,24,18,12,expert1,20
251,79,24,237,23,expert1,20
252,78,37,194,56,expert1,20
253,91,89,291,16,expert1,20
254,38,41,3,2,expert1,20
255,69,52,14,13,expert1,20
256,84,64,238,43,expert1,20
257,47,24,5,2,expert1,20
258,85,48,300,40,expert1,20
259,103,63,343,62,expert1,20
260,80,24,222,39,expert1,20
261,88,24,249,19,expert1,20
262,76,64,186,32,expert1,20
263,84,37,289,41,expert1,20
264,103,48,343,33,expert1,20
265,68,84,39,10,expert1,20
266,107,10,444,22,expert1,20
267,103,89,350,35,expert1,20
268,114,8,475,25,expert1,20
269,50,37,19,7,expert1,20
270,52,55,5,9,expert1,20
271,52,52,9,8,expert1,20
272,72,37,110,38,expert1,20
273,85,45,275,44,expert1,20
274,74,24,128,19,expert1,20
275,78,100,176,19,expert1,20
276,77,18,171,32,expert1,20
277,72,37,105,29,expert1,20
278,99,40,384,57,expert1,20
279,85,10,250,16,expert1,20
280,82,89,274,21,expert1,20
281,74,52,136,28,expert1,20
