"","time","trap.id","nmales","ntrees"
"276",260,10,49757,804
"277",98,29,293,43
"278",248,28,51026,802
"279",77,47,165,29
"280",249,68,32058,634
"281",92,46,279,38
"282",67,13,38,11
"283",112,16,724,24
"284",94,58,259,19
"285",122,84,1173,40
"286",105,6,1139,362
"287",252,68,14084,370
"288",100,76,358,52
"289",88,18,388,233
"290",55,46,10,8
"291",77,41,187,18
"292",175,27,14709,370
"293",180,13,21886,557
"294",113,13,493,27
"295",203,13,23031,375
"296",395,82,37995,836
"297",143,73,1948,40
"298",92,68,298,21
"299",111,16,613,32
"300",187,13,16918,320
"301",187,16,15710,411
"302",90,27,353,66
"303",268,22,41052,727
"304",83,46,263,34
"305",101,84,305,16
"306",114,54,1221,94
"307",83,54,332,235
"308",213,58,20564,415
"309",74,46,151,24
"310",264,31,26532,584
"311",167,53,10793,434
"312",160,22,10997,329
"313",205,69,8147,214
"314",153,48,8136,337
"315",226,42,33168,538
"316",193,59,19442,372
"317",175,23,5877,196
"318",205,27,21479,461
"319",204,10,22541,547
"320",204,70,19891,320
"321",102,46,335,41
"322",134,41,2280,126
"323",227,72,42226,628
"324",143,59,2084,43
"325",125,68,1588,37
"326",78,41,234,188
"327",124,69,1557,61
"328",187,23,25607,599
"329",106,82,334,23
"330",90,96,298,36
"331",78,93,260,180
"332",73,69,100,10
"333",145,86,7509,191
"334",190,53,18668,476
"335",131,88,1144,38
"336",113,64,755,86
"337",91,15,305,41
"338",123,41,1862,122
"339",180,58,9289,383
"340",202,55,18214,367
"341",97,2,266,17
"342",101,38,360,48
"343",115,20,738,32
"344",94,57,457,284
"345",106,41,1463,386
"346",137,40,2861,135
"347",151,13,5174,168
"348",77,16,183,21
"349",124,16,1448,37
"350",78,32,246,187
"351",216,69,16851,365
"352",98,4,439,258
"353",204,12,12466,377
"354",231,58,50427,840
"355",78,50,247,176
"356",241,69,40587,672
"357",131,31,1143,27
"358",126,16,1362,35
"359",89,36,400,218
"360",118,65,932,87
"361",86,65,252,18
"362",247,28,37870,646
"363",104,94,322,23
"364",180,55,9678,199
"365",243,60,43668,689
"366",238,55,33924,685
"367",95,19,390,240
"368",69,69,49,7
"369",82,47,316,205
"370",113,16,535,19
"371",207,28,21149,442
"372",139,84,1962,76
"373",120,84,419,70
"374",96,58,271,19
"375",122,68,1219,35
"376",79,16,237,14
"377",160,9,11610,318
"378",53,47,19,6
"379",255,70,37645,705
"380",222,65,28997,540
"381",171,99,9745,323
"382",111,29,740,71
"383",99,16,331,15
"384",118,16,1239,33
"385",318,10,39941,866
"386",127,68,808,32
"387",189,10,16378,529
"388",223,13,27792,602
"389",57,68,15,5
"390",96,78,307,24
"391",160,13,6293,193
"392",72,16,80,18
"393",93,65,268,15
"394",200,16,11057,298
"395",152,28,5051,128
"396",78,65,181,17
"397",149,28,6935,143
"398",93,24,270,18
"399",173,23,6034,319
"400",233,72,37879,644
"401",87,33,221,20
"402",168,13,10673,371
"403",77,46,50,45
"404",132,42,1009,78
"405",104,16,360,20
"406",50,20,17,6
"407",80,30,264,174
"408",382,99,33842,849
"409",135,5,1663,34
"410",123,16,1189,38
"411",162,13,6264,220
"412",48,16,11,4
"413",77,91,171,34
"414",203,27,29357,648
"415",236,13,50792,929
"416",78,91,198,34
"417",219,72,32903,602
"418",128,16,1551,41
"419",53,16,17,6
"420",168,60,12112,377
"421",170,72,10570,261
"422",89,57,256,34
"423",78,41,212,164
"424",187,48,15019,446
"425",187,43,14509,445
"426",103,59,370,23
"427",250,82,51433,853
"428",114,30,565,82
"429",208,27,26554,471
"430",80,41,235,27
"431",71,87,88,13
"432",252,87,15172,259
"433",233,68,27141,559
"434",134,47,3881,205
"435",124,22,1283,29
"436",78,62,234,168
"437",133,100,1359,41
"438",85,53,290,17
"439",82,87,260,17
"440",132,68,921,42
"441",112,46,223,16
"442",127,49,1592,106
"443",113,53,625,54
"444",175,10,3907,215
"445",118,48,849,98
"446",77,65,228,15
"447",236,10,47123,771
"448",120,66,1114,74
"449",113,16,549,14
"450",79,59,180,18
"451",108,40,450,60
"452",76,5,166,11
"453",152,13,10870,239
"454",79,54,197,28
"455",108,16,359,19
"456",71,16,80,11
"457",133,72,2959,150
"458",82,69,263,12
"459",77,46,48,58
"460",37,68,6,1
"461",109,58,479,27
"462",278,10,49571,855
"463",109,24,399,47
"464",266,58,38713,792
"465",109,68,509,24
"466",92,58,267,17
"467",86,80,378,233
"468",142,20,2062,46
"469",101,18,318,52
"470",153,68,4744,143
"471",85,58,286,22
"472",84,17,345,219
"473",216,10,36607,607
"474",136,46,1196,101
"475",114,23,645,51
"476",104,88,359,27
"477",80,87,226,14
"478",181,84,15737,358
"479",203,82,19883,509
"480",78,67,207,19
"481",105,5,1269,405
"482",87,22,266,15
"483",144,72,4282,109
"484",293,22,67842,1135
"485",95,59,332,16
"486",75,16,138,18
