time			temp
2:18:0			17.2
2:18:10			17.8
2:18:20			16.9
2:18:30			17.4
2:18:40			18.1
2:18:50			17.1
2:19:0			17.2
2:19:10			16.4
2:19:20			17.1
2:19:30			16.9
2:19:40			15.4
2:19:50			15
2:20:0			14.3
2:20:10			15
2:20:20			13.4
2:20:30			12.7
2:20:40			13.4
2:20:50			13.1
2:21:0			12.3
2:21:10			10.8
2:21:20			12.4
2:21:30			11.3
2:21:40			10.9
2:21:50			11.3
2:22:0			11
2:22:10			10.1
2:22:20			9.7
2:22:30			10.2
2:22:40			9.8
2:22:50			9.7
2:23:0			9
2:23:10			9.5
2:23:20			8.9
2:23:30			8.5
2:23:40			8.2
2:23:50			9.2
3:0:0			8.1
3:0:10			7.1
3:0:20			7
3:0:30			7.7
3:0:40			7.7
3:0:50			6.7
3:1:0			6.5
3:1:10			7.2
3:1:20			6.4
3:1:30			5.6
3:1:40			6.3
3:1:50			6.5
3:2:0			6.7
3:2:10			7.2
3:2:20			7.5
3:2:30			8.1
3:2:40			7.6
3:2:50			7.8
3:3:0			6.9
3:3:10			7.3
3:3:20			7.4
3:3:30			8.4
3:3:40			7.9
3:3:50			8.2
3:4:0			8.1
3:4:10			8.9
3:4:20			9.1
3:4:30			8.4
3:4:40			8.6
3:4:50			9.3
3:5:0			9.2
3:5:10			10.1
3:5:20			10.9
3:5:30			11.2
3:5:40			10.6
3:5:50			12.1
3:6:0			12.5
3:6:10			12.9
3:6:20			13.9
3:6:30			13.1
3:6:40			13
3:6:50			13.7
3:7:0			13.3
3:7:10			14.1
3:7:20			14.5
3:7:30			14.5
3:7:40			14.7
3:7:50			15.5
3:8:0			15.8
3:8:10			15.1
3:8:20			16.1
3:8:30			16.6
3:8:40			17.1
3:8:50			17.2
3:9:0			17.1
3:9:10			17.7
3:9:20			18.4
3:9:30			18
3:9:40			20
3:9:50			19.2
3:10:0			18.5
3:10:10			19.9
3:10:20			20.8
3:10:30			19.4
3:10:40			19.7
3:10:50			19.3
3:11:0			20.8
3:11:10			20.6
3:11:20			20.8
3:11:30			21
3:11:40			20
3:11:50			20.5
3:12:0			21.5
3:12:10			21
3:12:20			22
3:12:30			21.4
3:12:40			21.5
3:12:50			21.5
3:13:0			22.3
3:13:10			22.4
3:13:20			22.4
3:13:30			22.1
3:13:40			21.7
3:13:50			22.5
3:14:0			22.1
3:14:10			22.8
3:14:20			21.9
3:14:30			21.2
3:14:40			22.3
3:14:50			22.3
3:15:0			21.6
3:15:10			20
3:15:20			20.3
3:15:30			21.8
3:15:40			21
3:15:50			20.7
3:16:0			20.8
3:16:10			20.2
3:16:20			21
3:16:30			19.5
3:16:40			20.6
3:16:50			20.4
3:17:0			20
3:17:10			19.2
3:17:20			18.4
3:17:30			18
3:17:40			17.3
3:17:50			17.5
3:18:0			16.9
3:18:10			17.3
3:18:20			17.1
3:18:30			16.4
3:18:40			15.8
3:18:50			15.7
3:19:0			16.4
3:19:10			14
3:19:20			15.1
3:19:30			14.8
3:19:40			13.4
3:19:50			14.1
3:20:0			14
3:20:10			13.3
3:20:20			13
3:20:30			12.9
3:20:40			11.3
3:20:50			11
3:21:0			12.1
3:21:10			12.1
3:21:20			11.3
3:21:30			11.5
3:21:40			11.5
3:21:50			10.9
3:22:0			10.5
3:22:10			8.6
3:22:20			9.6
3:22:30			9
3:22:40			9.2
3:22:50			8.7
3:23:0			8.5
3:23:10			8.8
3:23:20			9
3:23:30			8.7
3:23:40			9.1
3:23:50			8.1
4:0:0			8.2
4:0:10			8.6
4:0:20			8.9
4:0:30			7.9
4:0:40			8.8
4:0:50			7.8
4:1:0			8.2
4:1:10			6.7
4:1:20			7.8
4:1:30			7
4:1:40			8.1
4:1:50			7.3
4:2:0			7
4:2:10			6.7
4:2:20			7.3
4:2:30			7.5
4:2:40			7.8
4:2:50			7.5
4:3:0			7.6
4:3:10			7
4:3:20			7.6
4:3:30			7.6
4:3:40			8.2
4:3:50			9
4:4:0			8.5
4:4:10			7.4
4:4:20			8.1
4:4:30			7.6
4:4:40			8.7
4:4:50			8.3
4:5:0			9.5
4:5:10			9.3
4:5:20			10.7
4:5:30			10.4
4:5:40			10.8
4:5:50			11.3
4:6:0			10.9
4:6:10			12.2
4:6:20			12.3
4:6:30			13.4
4:6:40			14
4:6:50			12.8
4:7:0			14.5
4:7:10			13.8
4:7:20			13.8
4:7:30			14.2
4:7:40			15.1
4:7:50			15.3
4:8:0			14.5
4:8:10			15
4:8:20			16.6
4:8:30			16.7
4:8:40			17.1
4:8:50			17.8
4:9:0			17.3
4:9:10			16.3
4:9:20			18.1
4:9:30			17.7
4:9:40			17.7
4:9:50			19.7
4:10:0			18.1
4:10:10			19.5
4:10:20			19.3
4:10:30			19.4
4:10:40			19.1
4:10:50			20
4:11:0			20.3
4:11:10			20.4
4:11:20			20.6
4:11:30			20.4
4:11:40			21.3
4:11:50			20.8
4:12:0			21.3
4:12:10			21
4:12:20			20.9
4:12:30			20.4
4:12:40			22.3
4:12:50			20.7
4:13:0			20.9
4:13:10			20.9
4:13:20			21.1
4:13:30			21.3
4:13:40			20.8
4:13:50			21.3
4:14:0			20.5
4:14:10			21.6
4:14:20			20.8
4:14:30			20.9
4:14:40			21.1
4:14:50			19.8
4:15:0			21.6
4:15:10			19.5
4:15:20			19
4:15:30			20.5
4:15:40			20.4
4:15:50			19.9
4:16:0			19.8
4:16:10			18.6
4:16:20			18.4
4:16:30			19
4:16:40			18.4
4:16:50			18
4:17:0			17.4
4:17:10			18.1
4:17:20			17.7
4:17:30			16.9
4:17:40			17.3
4:17:50			16.2
4:18:0			15.7
4:18:10			16.4
4:18:20			15
4:18:30			14.8
4:18:40			14.9
4:18:50			14.4
4:19:0			14.1
4:19:10			14.3
4:19:20			14.5
4:19:30			14.2
4:19:40			13.8
4:19:50			12.5
4:20:0			12.1
4:20:10			11.8
4:20:20			11.1
4:20:30			12.1
4:20:40			11.6
4:20:50			10.2
4:21:0			9.8
4:21:10			11
4:21:20			10.5
4:21:30			9.5
4:21:40			9.1
4:21:50			8.3
4:22:0			8.6
4:22:10			8.8
4:22:20			7.3
4:22:30			6.8
4:22:40			7.9
4:22:50			6.8
4:23:0			7.5
4:23:10			6.9
4:23:20			6
4:23:30			6.4
4:23:40			5.5
4:23:50			6
5:0:0			6.2
5:0:10			5.3
5:0:20			5.6
5:0:30			4.7
5:0:40			4.9
5:0:50			5.9
5:1:0			5
5:1:10			4.9
5:1:20			5.1
5:1:30			5.2
5:1:40			4.2
5:1:50			3.9
5:2:0			2.8
5:2:10			3.5
5:2:20			4
5:2:30			3.7
5:2:40			4
5:2:50			4.6
5:3:0			4.9
5:3:10			4.5
5:3:20			4.7
5:3:30			4.9
5:3:40			4.2
5:3:50			5.4
5:4:0			4.5
5:4:10			5.5
