sim,time,trap.id,nmales,ntrees,type,lure
179,122,20,620,35,redgrid,5
180,123,20,833,34,redgrid,5
181,120,20,941,26,redgrid,5
182,196,20,4467,78,redgrid,5
183,133,13,2944,154,redgrid,5
184,147,9,11725,289,redgrid,5
185,132,6,1430,84,redgrid,5
186,130,11,2135,119,redgrid,5
187,126,9,2718,195,redgrid,5
188,158,20,2792,67,redgrid,5
189,117,11,1453,119,redgrid,5
190,147,9,8416,199,redgrid,5
191,93,10,354,56,redgrid,5
192,122,4,1628,107,redgrid,5
193,74,20,126,10,redgrid,5
194,84,14,246,15,redgrid,5
195,99,20,330,26,redgrid,5
196,121,8,1452,103,redgrid,5
197,144,19,2395,47,redgrid,5
198,115,11,1299,89,redgrid,5
199,117,20,409,23,redgrid,5
200,79,11,201,28,redgrid,5
201,187,20,2738,202,redgrid,5
202,92,20,393,225,redgrid,5
203,130,17,1670,130,redgrid,5
204,159,14,2212,95,redgrid,5
205,124,9,2325,117,redgrid,5
206,87,12,267,58,redgrid,5
207,102,16,351,58,redgrid,5
208,143,6,4879,173,redgrid,5
209,128,9,1818,177,redgrid,5
210,133,4,2982,147,redgrid,5
211,127,9,3436,157,redgrid,5
212,113,12,997,95,redgrid,5
213,137,20,1728,41,redgrid,5
214,156,20,6603,781,redgrid,5
215,138,20,1723,199,redgrid,5
216,134,16,8146,733,redgrid,5
217,176,14,4153,162,redgrid,5
218,128,4,2535,125,redgrid,5
219,147,20,3706,102,redgrid,5
220,138,16,3687,565,redgrid,5
221,143,20,2000,45,redgrid,5
222,135,11,2648,139,redgrid,5
223,134,20,2069,52,redgrid,5
224,115,20,960,29,redgrid,5
225,128,17,3146,129,redgrid,5
226,131,3,1101,100,redgrid,5
227,94,15,300,15,redgrid,5
228,139,13,3904,133,redgrid,5
229,142,14,2769,143,redgrid,5
230,116,8,928,96,redgrid,5
231,89,8,302,47,redgrid,5
232,105,4,379,67,redgrid,5
233,166,15,2477,60,redgrid,5
234,85,9,257,51,redgrid,5
235,126,9,2997,229,redgrid,5
236,76,15,162,13,redgrid,5
237,127,9,2488,112,redgrid,5
238,110,7,514,55,redgrid,5
239,93,16,314,44,redgrid,5
240,125,16,1873,121,redgrid,5
241,146,9,3042,204,redgrid,5
242,148,20,2279,42,redgrid,5
243,89,5,264,31,redgrid,5
244,127,19,1961,35,redgrid,5
245,100,8,361,34,redgrid,5
246,183,20,2154,88,redgrid,5
247,93,9,255,24,redgrid,5
248,140,12,3459,155,redgrid,5
249,119,9,931,90,redgrid,5
250,127,6,2366,61,redgrid,5
251,154,20,2636,56,redgrid,5
252,123,20,1120,79,redgrid,5
253,127,9,2599,130,redgrid,5
254,128,17,2084,129,redgrid,5
255,164,20,2695,70,redgrid,5
256,150,19,2404,47,redgrid,5
257,103,20,363,24,redgrid,5
258,133,17,1718,125,redgrid,5
259,118,12,822,91,redgrid,5
260,152,19,2715,55,redgrid,5
261,158,10,5785,168,redgrid,5
262,132,20,1649,38,redgrid,5
263,130,8,2023,121,redgrid,5
264,145,16,11081,932,redgrid,5
265,140,15,1998,44,redgrid,5
266,120,8,883,61,redgrid,5
267,116,25,3084,490,redgrid,5
268,128,10,1084,47,redgrid,5
269,62,14,10,8,redgrid,5
270,119,16,719,90,redgrid,5
271,151,11,5732,152,redgrid,5
272,172,25,7915,814,redgrid,5
273,120,15,1178,38,redgrid,5
274,127,1,2434,114,redgrid,5
275,150,8,4427,220,redgrid,5
276,175,24,2781,112,redgrid,5
277,126,9,2266,126,redgrid,5
278,119,9,1270,112,redgrid,5
279,125,4,1218,147,redgrid,5
280,124,13,1630,109,redgrid,5
281,110,16,2625,409,redgrid,5
282,130,20,1364,36,redgrid,5
283,163,14,4988,139,redgrid,5
284,184,15,3673,95,redgrid,5
285,154,10,3296,188,redgrid,5
286,126,16,2161,118,redgrid,5
287,123,9,1879,169,redgrid,5
288,126,9,1941,115,redgrid,5
289,111,20,523,20,redgrid,5
290,133,9,978,50,redgrid,5
291,147,1,3496,90,redgrid,5
292,136,19,1692,33,redgrid,5
293,84,15,250,19,redgrid,5
294,115,16,4042,646,redgrid,5
295,79,21,268,176,redgrid,5
296,115,20,1046,107,redgrid,5
297,118,20,946,95,redgrid,5
298,147,15,2564,54,redgrid,5
299,120,4,679,73,redgrid,5
300,92,12,311,56,redgrid,5
301,143,19,2848,40,redgrid,5
302,116,17,814,103,redgrid,5
303,151,20,2763,42,redgrid,5
304,126,11,1185,99,redgrid,5
305,140,12,5201,140,redgrid,5
306,94,15,293,21,redgrid,5
307,115,13,606,48,redgrid,5
308,146,9,4548,228,redgrid,5
309,138,20,1324,37,redgrid,5
310,126,20,1393,136,redgrid,5
311,118,13,1938,174,redgrid,5
312,88,20,288,23,redgrid,5
313,133,11,2679,138,redgrid,5
314,142,14,3320,127,redgrid,5
315,77,9,182,49,redgrid,5
316,114,9,1139,122,redgrid,5
317,157,11,8929,188,redgrid,5
318,86,21,367,213,redgrid,5
319,110,21,2708,421,redgrid,5
320,176,17,15380,642,redgrid,5
321,127,20,1266,76,redgrid,5
322,138,20,1404,37,redgrid,5
323,126,12,2165,122,redgrid,5
324,127,5,1780,144,redgrid,5
325,110,15,466,29,redgrid,5
326,146,10,2612,120,redgrid,5
327,147,9,3773,202,redgrid,5
328,107,16,322,69,redgrid,5
329,136,9,3322,166,redgrid,5
330,155,20,3424,80,redgrid,5
331,130,16,1362,108,redgrid,5
332,141,10,3244,211,redgrid,5
333,145,11,5984,176,redgrid,5
334,95,15,258,15,redgrid,5
335,74,9,132,20,redgrid,5
336,122,9,1000,97,redgrid,5
337,78,15,217,18,redgrid,5
338,156,15,2927,103,redgrid,5
339,141,20,2311,50,redgrid,5
340,146,21,10404,871,redgrid,5
341,157,14,4607,230,redgrid,5
342,100,20,296,23,redgrid,5
343,128,8,1595,93,redgrid,5
344,134,20,1613,120,redgrid,5
345,131,9,2804,164,redgrid,5
346,136,15,1172,34,redgrid,5
347,109,10,344,42,redgrid,5
348,118,11,814,87,redgrid,5
349,136,9,3403,181,redgrid,5
350,136,15,2612,98,redgrid,5
351,149,9,3861,182,redgrid,5
352,79,12,198,32,redgrid,5
353,102,9,320,38,redgrid,5
354,136,16,3065,137,redgrid,5
355,160,20,1393,46,redgrid,5
356,138,9,2183,129,redgrid,5
357,130,20,1285,32,redgrid,5
358,128,10,2177,131,redgrid,5
359,76,11,156,27,redgrid,5
360,150,11,8409,201,redgrid,5
361,144,9,3486,147,redgrid,5
362,112,9,555,85,redgrid,5
363,144,4,3009,210,redgrid,5
364,169,15,2645,84,redgrid,5
365,94,9,395,74,redgrid,5
366,153,15,3471,55,redgrid,5
367,122,20,1130,38,redgrid,5
368,134,2,1388,47,redgrid,5
369,103,7,354,70,redgrid,5
370,98,14,355,25,redgrid,5
371,109,20,377,26,redgrid,5
372,127,15,1030,29,redgrid,5
373,140,20,1497,40,redgrid,5
374,143,15,1954,48,redgrid,5
375,107,19,295,19,redgrid,5
376,181,20,2586,83,redgrid,5
377,117,9,961,127,redgrid,5
378,167,20,2842,81,redgrid,5
379,126,5,2801,166,redgrid,5
380,87,9,244,31,redgrid,5
381,154,20,2327,49,redgrid,5
382,125,20,1532,40,redgrid,5
383,136,7,3207,142,redgrid,5
384,140,16,9620,926,redgrid,5
385,149,16,7295,186,redgrid,5
386,113,16,3264,459,redgrid,5
387,146,14,5862,194,redgrid,5
388,172,24,2692,196,redgrid,5
389,165,15,3008,66,redgrid,5
390,135,15,1910,47,redgrid,5
391,125,8,1992,102,redgrid,5
392,130,9,3202,148,redgrid,5
393,120,19,1159,33,redgrid,5
394,141,9,2867,115,redgrid,5
395,111,8,645,55,redgrid,5
396,129,5,2751,152,redgrid,5
397,85,25,384,250,redgrid,5
398,134,12,3030,142,redgrid,5
399,75,9,142,40,redgrid,5
400,115,4,826,28,redgrid,5
401,159,20,2799,77,redgrid,5
402,137,12,3006,124,redgrid,5
403,142,20,2106,43,redgrid,5
404,122,8,1152,135,redgrid,5
405,168,15,2535,58,redgrid,5
406,121,8,1071,81,redgrid,5
407,144,15,3093,52,redgrid,5
408,140,9,1554,118,redgrid,5
409,131,9,1962,189,redgrid,5
410,112,25,2911,448,redgrid,5
411,83,16,254,43,redgrid,5
412,128,12,2501,165,redgrid,5
413,170,9,2521,100,redgrid,5
414,130,16,7121,653,redgrid,5
415,140,4,2499,174,redgrid,5
416,128,9,1109,111,redgrid,5
417,111,20,854,24,redgrid,5
418,151,10,3659,182,redgrid,5
419,129,20,1993,330,redgrid,5
420,104,14,381,19,redgrid,5
421,84,20,269,15,redgrid,5
422,146,2,1175,58,redgrid,5
423,117,15,1199,38,redgrid,5
424,143,9,2437,179,redgrid,5
425,128,17,1265,99,redgrid,5
426,171,20,2137,63,redgrid,5
427,120,10,1217,79,redgrid,5
428,105,21,1265,391,redgrid,5
429,120,16,1548,107,redgrid,5
430,98,9,349,59,redgrid,5
431,132,3,2591,169,redgrid,5
432,173,15,2941,71,redgrid,5
433,105,25,1234,384,redgrid,5
434,126,20,1984,45,redgrid,5
435,88,20,262,19,redgrid,5
436,91,11,268,43,redgrid,5
437,135,11,2873,154,redgrid,5
438,142,9,5241,270,redgrid,5
439,151,12,6567,174,redgrid,5
440,120,9,2070,126,redgrid,5
441,119,11,721,87,redgrid,5
442,116,18,2937,536,redgrid,5
443,139,20,2651,55,redgrid,5
444,147,12,6655,193,redgrid,5
445,83,20,289,12,redgrid,5
446,137,15,1449,26,redgrid,5
447,208,20,5173,106,redgrid,5
448,147,9,11602,308,redgrid,5
449,96,14,297,13,redgrid,5
450,167,25,2915,323,redgrid,5
451,159,15,8211,246,redgrid,5
452,117,20,530,23,redgrid,5
453,102,22,688,315,redgrid,5
454,119,19,1069,30,redgrid,5
455,130,9,2454,162,redgrid,5
456,142,20,2666,136,redgrid,5
457,174,11,11272,238,redgrid,5
458,133,3,3385,91,redgrid,5
459,145,9,9220,258,redgrid,5
460,140,15,2184,86,redgrid,5
461,88,16,428,232,redgrid,5
462,119,20,1092,30,redgrid,5
463,144,20,2521,51,redgrid,5
464,180,15,2221,98,redgrid,5
465,80,20,249,24,redgrid,5
466,88,19,269,18,redgrid,5
467,70,20,61,9,redgrid,5
468,108,16,2126,402,redgrid,5
469,124,16,4450,559,redgrid,5
470,136,16,3433,145,redgrid,5
471,141,4,2823,188,redgrid,5
472,111,21,2710,453,redgrid,5
473,142,20,1494,39,redgrid,5
474,77,20,153,11,redgrid,5
475,144,20,1500,34,redgrid,5
476,119,16,4691,700,redgrid,5
477,92,4,257,50,redgrid,5
478,162,20,1831,48,redgrid,5
479,157,14,2362,46,redgrid,5
480,138,9,2092,136,redgrid,5
481,84,15,262,19,redgrid,5
482,123,9,1482,138,redgrid,5
483,129,18,5617,694,redgrid,5
484,111,20,421,30,redgrid,5
485,121,6,1199,103,redgrid,5
486,130,20,1186,38,redgrid,5
487,128,10,4943,236,redgrid,5
488,79,8,254,25,redgrid,5
489,123,14,1731,131,redgrid,5
490,111,14,422,30,redgrid,5
491,125,20,754,73,redgrid,5
492,78,11,187,30,redgrid,5
493,102,20,313,24,redgrid,5
494,149,9,8772,189,redgrid,5
