sim,time,trap.id,nmales,ntrees,type,lure
174,70,69,67,10,ineff,50
175,51,73,8,9,ineff,50
176,37,10,3,2,ineff,50
177,50,27,15,5,ineff,50
178,58,82,14,9,ineff,50
179,50,51,14,10,ineff,50
180,50,29,20,6,ineff,50
181,54,19,14,8,ineff,50
182,51,41,13,8,ineff,50
183,42,19,6,1,ineff,50
184,51,51,15,6,ineff,50
185,53,95,12,7,ineff,50
186,61,52,13,13,ineff,50
187,70,70,75,13,ineff,50
188,61,83,6,16,ineff,50
189,53,7,15,6,ineff,50
190,71,70,84,15,ineff,50
191,61,33,10,11,ineff,50
192,47,5,11,4,ineff,50
193,53,71,8,7,ineff,50
194,47,30,4,4,ineff,50
195,57,14,14,8,ineff,50
196,67,5,23,14,ineff,50
197,80,81,277,202,ineff,50
198,58,80,13,9,ineff,50
199,62,25,9,7,ineff,50
200,58,77,21,6,ineff,50
201,58,51,13,7,ineff,50
202,64,70,13,5,ineff,50
203,50,38,16,7,ineff,50
204,53,82,9,9,ineff,50
205,36,60,1,1,ineff,50
206,72,100,21,19,ineff,50
207,51,51,11,9,ineff,50
208,69,71,54,14,ineff,50
209,37,51,1,1,ineff,50
210,50,29,15,9,ineff,50
211,64,8,7,14,ineff,50
212,53,51,20,7,ineff,50
213,50,91,7,3,ineff,50
214,55,52,20,6,ineff,50
215,46,71,6,4,ineff,50
216,51,82,8,9,ineff,50
217,58,64,8,7,ineff,50
218,48,30,4,4,ineff,50
219,51,41,14,9,ineff,50
220,52,27,15,9,ineff,50
221,35,51,1,2,ineff,50
222,43,52,3,5,ineff,50
223,75,52,149,12,ineff,50
224,62,80,20,9,ineff,50
225,50,60,18,7,ineff,50
226,60,79,14,7,ineff,50
227,35,17,2,1,ineff,50
228,55,20,17,6,ineff,50
229,47,30,2,4,ineff,50
230,48,60,10,6,ineff,50
231,46,79,6,4,ineff,50
232,53,60,17,8,ineff,50
233,41,92,4,3,ineff,50
234,49,26,3,4,ineff,50
235,52,19,11,15,ineff,50
236,51,71,8,9,ineff,50
237,82,100,324,217,ineff,50
238,50,70,11,4,ineff,50
239,59,60,18,5,ineff,50
240,57,68,13,4,ineff,50
241,45,70,5,4,ineff,50
242,71,30,71,16,ineff,50
243,68,20,49,13,ineff,50
244,53,60,16,4,ineff,50
245,46,31,5,4,ineff,50
246,46,49,4,5,ineff,50
247,63,51,11,8,ineff,50
248,50,7,11,4,ineff,50
249,56,58,17,5,ineff,50
250,52,51,16,6,ineff,50
251,41,60,4,2,ineff,50
252,51,61,22,9,ineff,50
253,57,68,15,5,ineff,50
254,37,60,4,1,ineff,50
255,56,28,14,8,ineff,50
256,48,61,7,2,ineff,50
257,45,35,8,6,ineff,50
258,50,6,10,9,ineff,50
259,56,28,12,8,ineff,50
260,41,8,4,2,ineff,50
261,52,37,9,10,ineff,50
262,65,88,11,6,ineff,50
263,42,26,2,2,ineff,50
264,57,71,6,8,ineff,50
265,47,17,10,3,ineff,50
266,51,60,15,5,ineff,50
267,42,41,5,4,ineff,50
268,76,71,61,53,ineff,50
269,71,60,89,11,ineff,50
270,68,70,30,8,ineff,50
271,92,10,302,27,ineff,50
272,44,19,6,4,ineff,50
273,59,69,14,8,ineff,50
274,51,61,12,8,ineff,50
275,42,26,8,4,ineff,50
276,38,18,2,4,ineff,50
277,73,60,104,9,ineff,50
278,70,71,15,15,ineff,50
279,52,15,13,5,ineff,50
280,54,89,19,5,ineff,50
