sim,time,trap.id,nmales,ntrees,type,lure
493,143,18,5674,178,expert1,5
494,149,37,3936,233,expert1,5
495,113,4,630,22,expert1,5
496,172,37,7455,130,expert1,5
497,100,8,318,22,expert1,5
498,146,89,2165,382,expert1,5
499,53,18,14,9,expert1,5
500,123,89,1316,40,expert1,5
501,140,24,5093,215,expert1,5
502,110,37,859,93,expert1,5
503,99,30,324,25,expert1,5
504,145,10,2368,53,expert1,5
505,132,10,1577,37,expert1,5
506,131,1,3388,129,expert1,5
507,147,84,2420,43,expert1,5
508,153,100,2443,66,expert1,5
509,128,24,2134,96,expert1,5
510,92,1,276,26,expert1,5
511,79,100,265,170,expert1,5
512,115,37,1115,105,expert1,5
513,150,21,2579,51,expert1,5
514,183,8,2723,88,expert1,5
515,131,10,2206,302,expert1,5
516,76,71,42,56,expert1,5
517,169,4,2740,65,expert1,5
518,139,55,2152,39,expert1,5
519,119,89,788,71,expert1,5
520,103,21,325,16,expert1,5
521,75,100,162,11,expert1,5
522,163,4,2819,56,expert1,5
523,129,8,1027,34,expert1,5
524,105,89,277,21,expert1,5
525,102,18,288,11,expert1,5
526,128,24,2499,175,expert1,5
527,153,8,2560,50,expert1,5
528,154,8,3575,69,expert1,5
529,117,37,1932,111,expert1,5
530,125,37,3458,169,expert1,5
531,95,63,296,28,expert1,5
532,131,48,2814,140,expert1,5
533,115,48,642,66,expert1,5
534,131,89,1244,41,expert1,5
535,121,37,2133,149,expert1,5
536,145,24,3282,161,expert1,5
537,153,21,4237,155,expert1,5
538,105,22,415,25,expert1,5
539,147,18,5935,171,expert1,5
540,140,30,2448,161,expert1,5
541,134,89,1232,56,expert1,5
542,129,86,1550,128,expert1,5
543,82,60,263,12,expert1,5
544,101,90,557,298,expert1,5
545,141,21,1674,207,expert1,5
546,149,7,1761,38,expert1,5
547,115,64,744,86,expert1,5
548,110,8,665,42,expert1,5
549,125,89,1147,110,expert1,5
550,147,4,2298,40,expert1,5
551,78,24,192,32,expert1,5
552,179,99,2228,195,expert1,5
553,151,68,2723,49,expert1,5
554,144,24,8131,256,expert1,5
555,146,37,6168,234,expert1,5
556,143,37,7138,185,expert1,5
557,117,52,1003,100,expert1,5
558,136,67,2273,449,expert1,5
559,157,4,3839,70,expert1,5
560,159,46,2557,60,expert1,5
561,132,89,1407,56,expert1,5
562,125,24,1285,131,expert1,5
563,128,24,1369,118,expert1,5
564,116,8,1358,33,expert1,5
565,120,37,1380,166,expert1,5
566,117,64,810,81,expert1,5
567,101,63,359,32,expert1,5
568,100,63,304,32,expert1,5
569,79,48,219,38,expert1,5
570,88,18,284,43,expert1,5
571,133,88,1568,120,expert1,5
572,113,8,362,24,expert1,5
573,101,1,327,39,expert1,5
574,148,8,2016,51,expert1,5
575,189,24,4587,148,expert1,5
576,108,8,357,21,expert1,5
577,147,93,3572,138,expert1,5
578,136,7,2088,40,expert1,5
579,92,92,299,19,expert1,5
580,124,4,1727,36,expert1,5
581,129,40,1923,142,expert1,5
582,104,84,983,375,expert1,5
583,123,37,2466,129,expert1,5
584,126,37,2261,111,expert1,5
585,167,48,6112,210,expert1,5
586,129,1,2504,155,expert1,5
587,132,40,1747,119,expert1,5
588,105,76,351,59,expert1,5
589,136,92,1722,37,expert1,5
590,153,7,2692,537,expert1,5
591,113,4,613,26,expert1,5
592,121,73,1577,113,expert1,5
593,153,8,2430,53,expert1,5
594,116,63,836,65,expert1,5
595,103,96,460,64,expert1,5
596,114,37,637,74,expert1,5
597,147,24,7600,185,expert1,5
598,142,89,1660,44,expert1,5
599,95,47,322,43,expert1,5
600,145,4,2749,282,expert1,5
601,137,41,2633,146,expert1,5
602,102,55,285,16,expert1,5
603,148,4,1778,40,expert1,5
604,123,8,967,79,expert1,5
605,134,24,2159,110,expert1,5
606,131,84,685,28,expert1,5
607,85,6,363,230,expert1,5
608,115,4,482,77,expert1,5
609,82,47,331,215,expert1,5
610,85,67,378,242,expert1,5
611,103,52,846,361,expert1,5
612,134,24,3058,141,expert1,5
613,127,37,3379,170,expert1,5
614,160,4,3305,57,expert1,5
615,129,37,2424,182,expert1,5
616,95,4,265,15,expert1,5
617,153,4,2946,58,expert1,5
618,139,22,3787,174,expert1,5
619,116,63,520,63,expert1,5
620,135,89,1417,42,expert1,5
621,81,90,331,197,expert1,5
622,79,41,251,197,expert1,5
623,119,24,1438,142,expert1,5
624,95,100,280,22,expert1,5
625,108,89,390,16,expert1,5
626,82,86,286,205,expert1,5
627,139,4,1599,54,expert1,5
628,146,89,2003,45,expert1,5
629,126,89,1090,38,expert1,5
630,130,1,2607,123,expert1,5
631,107,63,494,87,expert1,5
632,142,37,6875,198,expert1,5
633,147,63,2361,157,expert1,5
634,137,89,1206,57,expert1,5
635,102,40,284,33,expert1,5
636,79,37,239,29,expert1,5
637,125,63,1368,74,expert1,5
638,138,34,2562,126,expert1,5
639,94,69,337,44,expert1,5
640,120,24,2398,141,expert1,5
641,127,24,1372,79,expert1,5
642,124,48,1708,145,expert1,5
643,140,21,1946,311,expert1,5
644,144,24,4326,160,expert1,5
645,122,10,1026,28,expert1,5
646,164,37,5015,264,expert1,5
647,86,34,406,262,expert1,5
648,79,37,204,48,expert1,5
649,141,1,2854,99,expert1,5
650,110,27,594,71,expert1,5
651,126,24,2206,125,expert1,5
652,78,79,236,210,expert1,5
653,91,47,401,240,expert1,5
654,126,8,1208,30,expert1,5
655,84,27,352,227,expert1,5
656,143,1,3844,162,expert1,5
657,122,37,2885,126,expert1,5
658,125,18,1565,110,expert1,5
659,135,48,2347,119,expert1,5
660,141,4,1781,38,expert1,5
661,127,89,1726,41,expert1,5
662,103,47,888,347,expert1,5
663,101,100,307,19,expert1,5
664,110,18,637,67,expert1,5
665,176,40,2090,120,expert1,5
666,156,10,3360,696,expert1,5
667,144,100,2605,183,expert1,5
668,82,47,307,212,expert1,5
669,120,37,1445,141,expert1,5
670,143,63,1959,101,expert1,5
671,154,16,7676,123,expert1,5
672,130,77,2531,88,expert1,5
673,167,4,2685,63,expert1,5
674,119,24,1739,116,expert1,5
675,75,1,178,13,expert1,5
676,134,7,1643,41,expert1,5
677,133,48,1951,99,expert1,5
678,117,63,1316,131,expert1,5
679,133,24,1715,116,expert1,5
680,143,24,6703,170,expert1,5
681,121,37,2638,143,expert1,5
682,124,24,1468,118,expert1,5
683,122,4,1278,35,expert1,5
684,117,64,1009,96,expert1,5
685,158,89,2830,59,expert1,5
686,120,24,1860,169,expert1,5
687,110,22,542,91,expert1,5
688,155,89,2714,43,expert1,5
689,134,21,1034,42,expert1,5
690,119,24,1813,162,expert1,5
691,119,64,763,87,expert1,5
692,88,57,428,223,expert1,5
693,170,8,3367,150,expert1,5
694,120,10,907,31,expert1,5
695,126,64,1511,120,expert1,5
696,124,20,2199,111,expert1,5
697,141,89,2176,47,expert1,5
698,119,64,1476,111,expert1,5
699,103,20,419,52,expert1,5
700,116,64,773,93,expert1,5
701,126,64,2761,143,expert1,5
702,144,24,7200,184,expert1,5
703,128,8,1683,289,expert1,5
704,126,37,3928,155,expert1,5
705,128,40,1691,68,expert1,5
706,148,4,2463,45,expert1,5
707,120,24,1929,122,expert1,5
708,116,93,733,71,expert1,5
709,77,21,184,14,expert1,5
710,132,20,3282,145,expert1,5
711,143,37,6099,174,expert1,5
712,103,48,433,55,expert1,5
713,129,4,1712,37,expert1,5
714,86,24,269,33,expert1,5
715,134,48,3823,143,expert1,5
716,102,67,376,17,expert1,5
717,121,37,1319,114,expert1,5
718,94,20,329,61,expert1,5
719,141,8,1935,48,expert1,5
720,72,24,113,15,expert1,5
721,72,63,112,17,expert1,5
722,120,37,1269,101,expert1,5
723,115,77,743,67,expert1,5
724,143,89,1996,42,expert1,5
725,103,52,918,347,expert1,5
726,132,48,1473,70,expert1,5
727,132,63,1169,73,expert1,5
728,105,8,464,20,expert1,5
729,125,24,986,96,expert1,5
730,101,24,259,26,expert1,5
731,96,84,295,14,expert1,5
732,125,24,2118,121,expert1,5
733,138,73,2656,115,expert1,5
734,149,63,3338,153,expert1,5
735,146,10,2952,43,expert1,5
736,149,24,4624,160,expert1,5
737,107,52,497,59,expert1,5
738,126,64,2774,125,expert1,5
739,137,63,1333,96,expert1,5
740,146,8,2638,50,expert1,5
741,85,64,295,35,expert1,5
742,138,48,2922,108,expert1,5
743,117,24,1617,129,expert1,5
744,103,4,787,354,expert1,5
745,111,64,552,69,expert1,5
746,107,88,1827,425,expert1,5
747,138,63,3853,194,expert1,5
748,117,1,670,92,expert1,5
749,114,20,1063,111,expert1,5
750,97,8,346,17,expert1,5
751,113,64,484,75,expert1,5
752,202,48,4509,86,expert1,5
753,78,52,259,192,expert1,5
754,97,25,407,266,expert1,5
755,73,28,42,31,expert1,5
756,109,1,588,37,expert1,5
757,134,62,1506,120,expert1,5
758,117,52,880,84,expert1,5
759,133,4,1515,58,expert1,5
760,133,8,1675,153,expert1,5
761,126,24,1979,136,expert1,5
762,130,37,3037,120,expert1,5
763,93,4,311,31,expert1,5
764,87,10,299,17,expert1,5
765,91,34,388,256,expert1,5
766,131,63,2458,80,expert1,5
767,78,10,221,12,expert1,5
768,147,4,3985,603,expert1,5
769,159,24,4639,168,expert1,5
770,131,100,1668,40,expert1,5
771,131,37,4187,202,expert1,5
772,74,92,42,44,expert1,5
773,172,8,2718,85,expert1,5
774,152,48,3941,130,expert1,5
775,169,24,2939,142,expert1,5
776,149,10,3818,66,expert1,5
777,122,48,1363,128,expert1,5
778,144,89,2478,51,expert1,5
779,133,24,1800,71,expert1,5
780,96,21,306,15,expert1,5
781,129,8,1509,34,expert1,5
782,144,100,1941,40,expert1,5
783,119,78,548,92,expert1,5
784,125,64,3063,95,expert1,5
785,80,27,241,197,expert1,5
786,125,24,2041,126,expert1,5
787,128,37,2107,136,expert1,5
788,143,21,2977,58,expert1,5
789,148,37,9634,235,expert1,5
790,101,57,316,44,expert1,5
791,78,57,240,179,expert1,5
792,138,40,2978,97,expert1,5
793,161,8,3398,135,expert1,5
794,74,37,131,41,expert1,5
795,115,24,1427,119,expert1,5
796,152,8,1563,40,expert1,5
797,79,29,269,187,expert1,5
798,139,1,1559,123,expert1,5
799,81,52,318,190,expert1,5
800,101,20,381,65,expert1,5
801,140,55,2051,174,expert1,5
802,146,89,2081,46,expert1,5
803,151,89,4852,150,expert1,5
804,118,63,1499,72,expert1,5
805,179,89,2635,76,expert1,5
806,81,37,280,56,expert1,5
807,144,37,2955,195,expert1,5
808,116,100,1045,32,expert1,5
809,123,24,1148,70,expert1,5
810,137,84,1661,32,expert1,5
811,118,63,1402,84,expert1,5
812,123,64,1639,127,expert1,5
813,141,8,2836,41,expert1,5
814,118,89,866,69,expert1,5
815,125,89,1380,63,expert1,5
816,87,36,270,56,expert1,5
817,119,89,1193,82,expert1,5
818,79,27,250,175,expert1,5
819,108,48,504,110,expert1,5
820,147,89,3348,97,expert1,5
821,129,48,2016,105,expert1,5
822,143,89,1997,86,expert1,5
823,167,4,1952,61,expert1,5
824,69,24,55,32,expert1,5
825,131,27,1613,116,expert1,5
826,87,17,405,247,expert1,5
827,147,84,2638,38,expert1,5
828,114,37,1066,95,expert1,5
829,139,48,2760,172,expert1,5
830,84,48,294,44,expert1,5
831,67,63,23,9,expert1,5
832,89,52,276,39,expert1,5
833,78,27,239,192,expert1,5
834,78,52,237,186,expert1,5
835,76,24,187,14,expert1,5
836,181,24,6192,182,expert1,5
837,159,4,2597,67,expert1,5
838,101,8,327,20,expert1,5
839,130,37,1652,106,expert1,5
840,74,76,39,33,expert1,5
841,94,13,278,42,expert1,5
842,105,47,1306,373,expert1,5
843,94,34,319,42,expert1,5
844,146,8,2084,43,expert1,5
845,143,1,2990,177,expert1,5
846,101,80,360,50,expert1,5
847,124,18,1256,105,expert1,5
848,146,18,5809,162,expert1,5
849,141,20,2612,111,expert1,5
850,91,90,366,238,expert1,5
851,78,19,258,181,expert1,5
852,123,37,1362,162,expert1,5
853,142,8,1726,45,expert1,5
854,79,63,215,11,expert1,5
855,185,89,2886,71,expert1,5
856,160,30,3385,143,expert1,5
857,86,95,377,206,expert1,5
858,87,56,373,216,expert1,5
859,133,18,2730,120,expert1,5
860,135,7,1721,40,expert1,5
861,39,4,1,2,expert1,5
862,98,49,286,51,expert1,5
863,101,10,533,293,expert1,5
864,86,48,291,33,expert1,5
865,106,69,1468,398,expert1,5
866,137,1,1585,134,expert1,5
867,178,100,2345,69,expert1,5
868,152,48,4411,183,expert1,5
869,151,24,5212,145,expert1,5
870,139,10,1878,35,expert1,5
871,77,89,166,16,expert1,5
872,147,21,3178,646,expert1,5
873,137,4,1467,34,expert1,5
874,121,24,2318,169,expert1,5
875,133,73,2546,123,expert1,5
876,112,37,875,107,expert1,5
877,99,5,302,45,expert1,5
878,152,89,3394,106,expert1,5
879,148,24,8728,182,expert1,5
880,131,89,935,81,expert1,5
881,140,63,2816,98,expert1,5
882,122,4,1001,81,expert1,5
883,135,37,3903,151,expert1,5
884,90,21,407,229,expert1,5
885,101,63,318,19,expert1,5
886,126,24,2788,165,expert1,5
887,91,43,244,45,expert1,5
888,77,79,58,59,expert1,5
889,94,11,442,266,expert1,5
890,146,30,3418,58,expert1,5
891,120,4,1099,28,expert1,5
892,130,25,2690,136,expert1,5
893,140,48,1902,112,expert1,5
894,105,52,1271,359,expert1,5
895,77,33,48,62,expert1,5
896,141,24,4334,160,expert1,5
897,87,10,263,16,expert1,5
898,129,7,1093,32,expert1,5
899,128,55,1269,102,expert1,5
900,91,48,288,62,expert1,5
901,142,37,3263,147,expert1,5
902,145,10,2322,58,expert1,5
903,140,93,4266,99,expert1,5
904,95,27,286,41,expert1,5
905,171,46,2138,68,expert1,5
906,141,12,4124,153,expert1,5
907,169,24,7725,209,expert1,5
908,108,81,406,22,expert1,5
909,83,52,333,228,expert1,5
910,160,89,2889,55,expert1,5
911,114,73,878,67,expert1,5
912,104,8,337,15,expert1,5
913,131,4,1339,37,expert1,5
914,131,10,1079,30,expert1,5
915,137,21,1493,144,expert1,5
916,122,64,1842,121,expert1,5
917,129,64,1817,122,expert1,5
918,147,20,5258,233,expert1,5
919,122,7,853,34,expert1,5
920,127,37,2013,138,expert1,5
921,97,12,333,55,expert1,5
922,119,8,1002,40,expert1,5
923,125,100,1523,352,expert1,5
924,110,18,592,83,expert1,5
925,77,41,54,52,expert1,5
926,83,27,347,221,expert1,5
927,147,8,1861,112,expert1,5
928,86,8,267,13,expert1,5
929,79,52,268,184,expert1,5
930,157,8,2909,77,expert1,5
931,127,18,2024,120,expert1,5
932,161,24,5538,258,expert1,5
933,150,100,4271,71,expert1,5
934,111,21,433,36,expert1,5
935,95,10,282,14,expert1,5
936,141,67,2787,504,expert1,5
937,128,48,2936,213,expert1,5
