time			temp
2:7:30			12
2:7:40			12.3
2:7:50			13.3
2:8:0			12.8
2:8:10			13.2
2:8:20			13.7
2:8:30			13.8
2:8:40			14.4
2:8:50			13.8
2:9:0			14.6
2:9:10			15.3
2:9:20			16.3
2:9:30			16.3
2:9:40			16.3
2:9:50			16.6
2:10:0			17.3
2:10:10			16.5
2:10:20			18.2
2:10:30			17.5
2:10:40			18.3
2:10:50			18.8
2:11:0			20.1
2:11:10			20.7
2:11:20			20.8
2:11:30			20.9
2:11:40			20.8
2:11:50			20.8
2:12:0			22.2
2:12:10			20.9
2:12:20			22
2:12:30			21.8
2:12:40			22.5
2:12:50			23.4
2:13:0			23.4
2:13:10			22.4
2:13:20			24.1
2:13:30			23.5
2:13:40			24.2
2:13:50			23.4
2:14:0			23.8
2:14:10			23.6
2:14:20			24.6
2:14:30			24.5
2:14:40			24.5
2:14:50			24.2
2:15:0			24.5
2:15:10			24.9
2:15:20			24.3
2:15:30			24.6
2:15:40			23.6
2:15:50			25
2:16:0			24.6
2:16:10			25.4
2:16:20			26
2:16:30			26.5
2:16:40			25.5
2:16:50			26.3
2:17:0			25.6
2:17:10			25.2
2:17:20			25
2:17:30			25.2
2:17:40			25.1
2:17:50			25.9
2:18:0			25.4
2:18:10			25.2
2:18:20			25.2
2:18:30			26
2:18:40			25.3
2:18:50			25.5
2:19:0			24.9
2:19:10			24.9
2:19:20			24.4
2:19:30			23.9
2:19:40			22.9
2:19:50			22.8
2:20:0			22.8
2:20:10			23.5
2:20:20			22.8
2:20:30			23.3
2:20:40			22.5
2:20:50			22.6
2:21:0			21.6
2:21:10			22.6
2:21:20			22.1
2:21:30			20.2
2:21:40			21.6
2:21:50			20.5
2:22:0			20.4
2:22:10			19.8
2:22:20			19
2:22:30			18.8
2:22:40			18.6
2:22:50			18
2:23:0			16.7
2:23:10			17.4
2:23:20			17.5
2:23:30			16.5
2:23:40			15.9
2:23:50			15.8
3:0:0			14.8
3:0:10			14.4
3:0:20			13.7
3:0:30			13.1
3:0:40			15.2
3:0:50			13.9
3:1:0			13.5
3:1:10			13
3:1:20			12.8
3:1:30			12.6
3:1:40			12.5
3:1:50			12.3
3:2:0			11.6
3:2:10			12.1
3:2:20			12.8
3:2:30			11.7
3:2:40			11.8
3:2:50			11.6
3:3:0			11.6
3:3:10			11.2
3:3:20			11.7
3:3:30			12.1
3:3:40			10.3
3:3:50			11.2
3:4:0			11.3
3:4:10			11.8
3:4:20			10.1
3:4:30			10.9
3:4:40			10.8
3:4:50			11.7
3:5:0			12.2
3:5:10			12
3:5:20			11.9
3:5:30			11.3
3:5:40			11.3
3:5:50			12
3:6:0			13.2
3:6:10			12.9
3:6:20			14.4
3:6:30			13.3
3:6:40			12.7
3:6:50			12.5
3:7:0			13.4
3:7:10			13.9
3:7:20			13.4
3:7:30			14.6
3:7:40			14.4
3:7:50			14.5
3:8:0			15.3
3:8:10			15.3
3:8:20			15.3
3:8:30			16.7
3:8:40			15.9
3:8:50			16.6
3:9:0			16.8
3:9:10			16.9
3:9:20			17.5
3:9:30			18.2
3:9:40			18.3
3:9:50			19.4
3:10:0			19.8
3:10:10			19
3:10:20			20
3:10:30			20.3
3:10:40			20
3:10:50			21.3
3:11:0			22
3:11:10			21
3:11:20			21.8
3:11:30			21
3:11:40			20.8
3:11:50			22.1
3:12:0			22.2
3:12:10			21.7
3:12:20			22.1
3:12:30			23.4
3:12:40			23
3:12:50			22.5
3:13:0			23.7
3:13:10			23.8
3:13:20			23.6
3:13:30			24.1
3:13:40			24.8
3:13:50			25.7
